date,market_value_million,market_value_str,club,age
2017-10-29,10.0,€10.00m,CR Flamengo,17
2017-12-06,20.0,€20.00m,CR Flamengo,17
2018-05-22,35.0,€35.00m,CR Flamengo,17
2018-12-20,35.0,€35.00m,Real Madrid,18
2019-02-27,70.0,€70.00m,Real Madrid,18
2019-06-10,70.0,€70.00m,Real Madrid,18
2019-12-19,50.0,€50.00m,Real Madrid,19
2020-04-07,45.0,€45.00m,Real Madrid,19
2020-10-07,50.0,€50.00m,Real Madrid,20
2021-01-04,40.0,€40.00m,Real Madrid,20
2021-06-09,40.0,€40.00m,Real Madrid,20
2021-10-12,50.0,€50.00m,Real Madrid,21
2021-12-29,100.0,€100.00m,Real Madrid,21
2022-06-02,100.0,€100.00m,Real Madrid,21
2022-09-22,120.0,€120.00m,Real Madrid,22
2022-11-06,120.0,€120.00m,Real Madrid,22
2023-06-12,150.0,€150.00m,Real Madrid,22
2023-12-21,150.0,€150.00m,Real Madrid,23
2024-06-06,180.0,€180.00m,Real Madrid,23
2024-10-10,200.0,€200.00m,Real Madrid,24
2024-12-26,200.0,€200.00m,Real Madrid,24
2025-06-08,170.0,€170.00m,Real Madrid,24
